TransactionID,CustomerID,Date,ProductCategory,Country,TransactionAmount,LoyaltyScore
TXN00827,CUST0011,2025-05-01,Clothing,Canada,34.92,50.0
TXN00102,CUST0134,2025-10-31,Books,Spain,144.55,10.0
TXN00750,CUST0049,2026-02-28,Electronics,Spain,317.08,32.0
TXN00552,CUST0130,2025-03-17,Books,Germany,250.95,91.0
TXN00307,CUST0073,2025-10-14,Electronics,UK,230.17,66.0
TXN00987,CUST0191,2025-08-03,Sports,Canada,102.12,9.0
TXN00322,CUST0096,2026-02-22,Home & Garden,Spain,184.98,9.0
TXN00800,CUST0184,2025-08-02,Home & Garden,United States,32.79,50.0
TXN00731,CUST0154,2025-09-20,Books,Spain,343.57,93.0
TXN00678,CUST0019,2025-08-22,Home & Garden,UK,88.84,10.0
TXN00654,CUST0137,2025-05-12,Electronics,UK,424.79,50.0
TXN00077,CUST0103,2026-01-26,Home & Garden,Canada,483.78,36.0
TXN00193,CUST0195,2025-12-07,Electronics,Germany,350.06,4.0
TXN00087,CUST0098,2025-05-15,Clothing,France,157.47,71.0
TXN00459,CUST0143,2025-08-16,Sports,UK,129.0,27.0
TXN00440,CUST0197,2025-08-19,Books,Canada,229.78,49.0
TXN00919,CUST0153,2025-04-09,Electronics,UK,252.24,2.0
TXN00661,CUST0083,2025-12-17,Electronics,United States,297.44,19.0
TXN00310,CUST0099,2025-11-08,Electronics,Canada,23.81,13.0
TXN00744,CUST0037,2025-11-30,Home & Garden,Spain,391.68,50.0
TXN00874,CUST0176,2025-12-21,Clothing,France,228.65,23.0
TXN00399,CUST0072,2025-11-07,Sports,Canada,471.33,39.0
TXN00617,CUST0014,2025-06-11,Clothing,UK,490.89,52.0
TXN00050,CUST0143,2025-11-25,Books,UK,155.39,50.0
TXN00200,CUST0151,2025-07-28,Home & Garden,Spain,348.25,59.0
TXN00599,CUST0109,2025-04-09,Books,United States,272.92,79.0
TXN00970,CUST0043,2026-01-13,Books,United States,41.26,50.0
TXN00883,CUST0089,2025-04-27,Books,Germany,401.95774841437634,18.0
TXN00429,CUST0141,2025-03-27,Books,France,414.55,98.0
TXN00498,CUST0126,2025-05-23,Clothing,Canada,471.16,56.0
TXN00604,CUST0156,2025-03-26,Electronics,Canada,373.43,95.0
TXN00011,CUST0170,2026-01-21,Clothing,Canada,401.95774841437634,13.0
TXN00889,CUST0042,2025-06-13,Clothing,Spain,29.2,74.0
TXN00671,CUST0020,2025-09-20,Clothing,Canada,92.26,12.0
TXN00938,CUST0068,2025-11-19,Clothing,UK,419.12,80.0
TXN00929,CUST0132,2025-05-12,Home & Garden,France,132.57,57.0
TXN00558,CUST0027,2026-02-14,Clothing,Canada,401.95774841437634,45.0
TXN00637,CUST0067,2025-08-07,Clothing,United States,428.75,72.0
TXN00834,CUST0165,2025-10-29,Sports,France,479.86,88.0
TXN00372,CUST0064,2025-05-11,Clothing,Canada,401.95774841437634,25.0
TXN00835,CUST0083,2025-08-17,Books,United States,135.73,93.0
TXN00583,CUST0188,2025-09-23,Electronics,United States,190.11,39.0
TXN00334,CUST0047,2025-09-19,Sports,Canada,60.27,42.0
TXN00946,CUST0081,2025-03-22,Electronics,United States,401.95774841437634,75.0
TXN00320,CUST0135,2025-06-06,Home & Garden,United States,276.6,65.0
TXN00458,CUST0182,2026-02-01,Clothing,Germany,285.57,54.0
TXN00089,CUST0156,2025-07-19,Home & Garden,Germany,226.66,28.0
TXN00880,CUST0190,2025-05-28,Home & Garden,France,289.38,49.0
TXN00351,CUST0036,2026-02-17,Clothing,Germany,186.84,74.0
TXN00219,CUST0078,2026-01-12,Books,United States,125.05,69.0
TXN00414,CUST0127,2025-10-05,Clothing,Spain,439.6,2.0
TXN00278,CUST0165,2025-04-15,Sports,Canada,164.91,57.0
TXN00960,CUST0090,2025-05-11,Sports,UK,292.19,84.0
TXN00926,CUST0089,2025-04-26,Home & Garden,UK,401.95774841437634,59.0
TXN00214,CUST0032,2025-03-23,Books,Canada,377.02,34.0
TXN00097,CUST0133,2025-05-21,Books,United States,132.11,16.0
TXN00079,CUST0085,2025-10-20,Electronics,United States,97.5,34.0
TXN00704,CUST0089,2025-08-18,Books,Canada,330.85,74.0
TXN00137,CUST0024,2025-08-07,Home & Garden,UK,348.98,40.0
TXN00209,CUST0084,2025-11-20,Books,UK,401.95774841437634,70.0
TXN00523,CUST0178,2026-02-12,Books,France,397.45,47.0
TXN00838,CUST0083,2026-01-12,Sports,United States,92.02,99.0
TXN00733,CUST0100,2025-03-05,Electronics,France,497.43,25.0
TXN00569,CUST0095,2025-09-16,Books,Germany,295.16,100.0
TXN00261,CUST0030,2026-01-05,Home & Garden,Germany,148.79,87.0
TXN00468,CUST0120,2025-07-05,Electronics,Spain,383.2,41.0
TXN00040,CUST0148,2025-07-03,Books,UK,405.67,25.0
TXN00031,CUST0062,2025-05-16,Electronics,UK,474.01,50.0
TXN00698,CUST0112,2025-12-17,Clothing,Spain,418.71,34.0
TXN00452,CUST0083,2025-12-19,Clothing,Canada,492.99,67.0
TXN00055,CUST0159,2025-03-31,Electronics,Germany,296.0,67.0
TXN00024,CUST0098,2025-06-05,Sports,Germany,133.19,71.0
TXN00514,CUST0077,2025-03-12,Home & Garden,France,108.42,50.0
TXN00114,CUST0165,2025-07-09,Books,UK,99.05,34.0
TXN00110,CUST0155,2025-11-10,Clothing,Germany,143.74,63.0
TXN00507,CUST0144,2025-06-09,Clothing,France,93.1,49.0
TXN00967,CUST0200,2025-05-06,Home & Garden,Spain,265.26,58.0
TXN00950,CUST0180,2025-08-09,Home & Garden,Canada,147.02,24.0
TXN00004,CUST0007,2025-04-04,Sports,UK,353.65,54.0
TXN00276,CUST0195,2025-04-15,Electronics,UK,252.12,97.0
TXN00657,CUST0146,2025-05-18,Sports,UK,474.7,64.0
TXN00855,CUST0042,2025-04-21,Clothing,UK,419.03,25.0
TXN00760,CUST0032,2025-07-03,Sports,Canada,353.92,27.0
TXN00797,CUST0141,2025-03-08,Sports,Canada,62.1,22.0
TXN00903,CUST0179,2025-07-28,Sports,United States,75.6,62.0
TXN00395,CUST0189,2025-12-22,Electronics,Spain,264.15,72.0
TXN00487,CUST0122,2026-02-26,Electronics,Spain,401.95774841437634,11.0
TXN00615,CUST0058,2025-08-01,Home & Garden,UK,458.77,41.0
TXN00878,CUST0100,2026-02-07,Books,Germany,29.55,84.0
TXN00175,CUST0062,2025-05-24,Clothing,Canada,16.7,53.0
TXN00918,CUST0099,2025-04-01,Books,France,265.29,92.0
TXN00059,CUST0026,2025-11-13,Electronics,France,401.95774841437634,17.0
TXN00266,CUST0059,2025-03-25,Sports,France,405.04,10.0
TXN00064,CUST0155,2025-09-08,Clothing,Spain,109.76,82.0
TXN00790,CUST0128,2025-08-08,Electronics,United States,212.05,72.0
TXN00262,CUST0152,2025-03-26,Books,France,161.13,29.0
TXN00101,CUST0116,2025-04-10,Home & Garden,UK,401.95774841437634,100.0
TXN00925,CUST0024,2025-05-20,Sports,Canada,458.35,45.0
TXN00300,CUST0198,2025-07-21,Sports,UK,31.41,47.0
TXN00616,CUST0070,2025-08-24,Electronics,France,68.51,87.0
TXN00179,CUST0099,2025-06-15,Clothing,France,375.68,18.0
TXN00934,CUST0068,2026-01-14,Clothing,Canada,205.48,96.0
TXN00779,CUST0157,2025-12-26,Electronics,Spain,246.71,63.0
TXN00140,CUST0079,2025-12-31,Home & Garden,UK,363.43,41.0
TXN00804,CUST0046,2025-12-27,Sports,UK,60.74,85.0
TXN00169,CUST0103,2025-07-13,Sports,United States,401.95774841437634,50.0
TXN00067,CUST0034,2025-07-19,Home & Garden,UK,280.32,55.0
TXN00257,CUST0041,2025-09-17,Home & Garden,Canada,390.65,73.0
TXN00068,CUST0144,2026-01-23,Electronics,United States,473.07,89.0
TXN00013,CUST0095,2025-03-24,Home & Garden,UK,140.82,88.0
TXN00532,CUST0030,2025-09-24,Clothing,Canada,178.1,27.0
TXN00985,CUST0057,2025-07-29,Home & Garden,United States,316.41,67.0
TXN00867,CUST0036,2025-10-19,Sports,UK,369.44,50.0
TXN00577,CUST0024,2026-01-19,Home & Garden,Canada,192.2,50.0
TXN00335,CUST0170,2025-07-17,Home & Garden,Canada,401.95774841437634,55.0
TXN00287,CUST0135,2025-12-11,Sports,France,188.31,37.0
TXN00912,CUST0148,2025-08-11,Home & Garden,Spain,370.53,85.0
TXN00324,CUST0149,2026-02-08,Home & Garden,UK,182.63,44.0
TXN00891,CUST0104,2025-04-10,Sports,France,19.12,93.0
TXN00537,CUST0144,2025-11-04,Books,Germany,400.9,81.0
TXN00693,CUST0134,2025-03-16,Books,France,434.78,61.0
TXN00650,CUST0089,2025-09-19,Sports,France,200.31,24.0
TXN00529,CUST0148,2025-08-23,Clothing,Germany,201.66,99.0
TXN00586,CUST0113,2025-11-13,Home & Garden,Spain,317.76,20.0
TXN00003,CUST0009,2025-11-11,Electronics,United States,124.0,78.0
TXN00446,CUST0071,2026-01-04,Clothing,Spain,25.79,85.0
TXN00238,CUST0017,2025-04-17,Clothing,Canada,401.95774841437634,71.0
TXN00496,CUST0060,2025-04-27,Electronics,Canada,386.81,77.0
TXN00782,CUST0148,2025-03-25,Sports,UK,437.84,67.0
TXN00328,CUST0081,2025-08-11,Home & Garden,France,494.67,70.0
TXN00548,CUST0148,2025-11-27,Books,Germany,248.47,69.0
TXN00530,CUST0174,2025-06-19,Sports,Spain,83.87,4.0
TXN00884,CUST0113,2026-01-22,Clothing,UK,262.13,36.0
TXN00584,CUST0036,2025-04-08,Books,UK,496.54,19.0
TXN00594,CUST0153,2026-02-24,Electronics,France,493.57,41.0
TXN00588,CUST0026,2025-05-05,Clothing,United States,367.7,45.0
TXN00309,CUST0007,2025-08-12,Books,United States,255.98,31.0
TXN00994,CUST0085,2026-02-02,Electronics,UK,140.59,51.0
TXN00232,CUST0045,2025-12-28,Home & Garden,United States,373.44,68.0
TXN00630,CUST0180,2025-07-14,Home & Garden,Canada,143.26,10.0
TXN00602,CUST0167,2025-03-10,Electronics,Canada,224.37,31.0
TXN00663,CUST0181,2026-01-10,Books,France,174.91,42.0
TXN00916,CUST0024,2025-04-29,Clothing,Germany,223.33,9.0
TXN00315,CUST0061,2026-02-06,Home & Garden,United States,126.84,82.0
TXN00107,CUST0198,2026-02-20,Sports,Spain,429.8,98.0
TXN00824,CUST0020,2025-06-12,Clothing,UK,68.48,6.0
TXN00056,CUST0081,2025-03-25,Home & Garden,UK,360.93,31.0
TXN00121,CUST0043,2026-01-03,Sports,France,391.12,21.0
TXN00371,CUST0025,2025-08-18,Electronics,Canada,433.44,54.0
TXN00026,CUST0165,2025-10-03,Home & Garden,United States,223.03,59.0
TXN00073,CUST0042,2026-02-18,Clothing,Germany,401.95774841437634,50.0
TXN00550,CUST0048,2025-04-19,Home & Garden,Germany,36.27,46.0
TXN00045,CUST0047,2025-10-26,Home & Garden,Germany,438.5,10.0
TXN00297,CUST0020,2025-06-16,Home & Garden,United States,387.73,95.0
TXN00329,CUST0122,2025-04-05,Home & Garden,United States,103.64,46.0
TXN00248,CUST0014,2025-09-24,Home & Garden,France,182.31,50.0
TXN00337,CUST0158,2025-04-09,Books,Canada,490.21,8.0
TXN00352,CUST0095,2025-12-26,Books,France,309.85,12.0
TXN00362,CUST0160,2025-05-18,Sports,Canada,30.19,4.0
TXN00738,CUST0023,2025-11-08,Clothing,Canada,374.66,40.0
TXN00961,CUST0138,2025-09-02,Clothing,Canada,169.29,66.0
TXN00421,CUST0084,2025-03-25,Electronics,Germany,56.74,18.0
TXN00382,CUST0194,2025-04-28,Clothing,UK,259.47,65.0
TXN00695,CUST0009,2025-06-11,Sports,France,402.22,87.0
TXN00540,CUST0002,2025-10-11,Clothing,UK,378.64,9.0
TXN00450,CUST0194,2025-06-18,Electronics,UK,496.81,30.0
TXN00623,CUST0163,2026-03-02,Electronics,Canada,381.88,49.0
TXN00210,CUST0094,2025-10-14,Sports,France,416.93,33.0
TXN00555,CUST0044,2025-06-22,Books,France,279.37,15.0
TXN00482,CUST0028,2025-12-16,Electronics,France,128.07,80.0
TXN00433,CUST0134,2025-03-19,Books,United States,110.65,75.0
TXN00627,CUST0118,2026-01-13,Electronics,France,1000.0,82.0
TXN00061,CUST0140,2025-04-02,Home & Garden,France,269.18,86.0
TXN00622,CUST0039,2026-02-18,Electronics,Germany,124.17,45.0
TXN00756,CUST0055,2025-06-17,Electronics,France,92.8,47.0
TXN00093,CUST0063,2026-01-24,Books,France,233.15,81.0
TXN00902,CUST0197,2025-05-05,Books,Canada,401.95774841437634,50.0
TXN00463,CUST0056,2025-09-13,Books,UK,158.56,2.0
TXN00667,CUST0097,2025-03-15,Home & Garden,Spain,154.31,23.0
TXN00977,CUST0117,2025-06-07,Sports,Germany,323.5,69.0
TXN00478,CUST0117,2025-04-20,Home & Garden,United States,322.49,79.0
TXN00333,CUST0069,2025-07-28,Electronics,Spain,401.95774841437634,78.0
TXN00939,CUST0092,2025-12-31,Clothing,United States,460.89,87.0
TXN00701,CUST0180,2025-06-08,Sports,France,393.03,15.0
TXN00465,CUST0123,2025-04-27,Clothing,Spain,354.85,51.0
TXN00356,CUST0200,2025-05-06,Sports,Spain,99.16,17.0
TXN00363,CUST0021,2025-05-11,Electronics,Spain,139.68,27.0
TXN00313,CUST0021,2025-11-12,Electronics,Canada,401.95774841437634,71.0
TXN00319,CUST0062,2025-11-27,Sports,Germany,335.54,11.0
TXN00974,CUST0034,2026-02-16,Sports,UK,27.23,46.0
TXN00381,CUST0025,2025-09-10,Books,Canada,283.34,47.0
TXN00183,CUST0086,2025-08-21,Sports,France,233.12,42.0
TXN00717,CUST0102,2026-02-15,Electronics,Spain,128.55,63.0
TXN00111,CUST0008,2025-03-25,Books,Canada,342.78,52.0
TXN00531,CUST0124,2025-08-02,Electronics,Canada,461.07,11.0
TXN00378,CUST0012,2025-05-15,Books,United States,401.95774841437634,47.0
TXN00714,CUST0146,2025-11-24,Electronics,UK,438.84,26.0
TXN00873,CUST0129,2025-10-31,Electronics,Spain,425.51,79.0
TXN00940,CUST0170,2026-02-27,Books,France,384.48,70.0
TXN00732,CUST0007,2025-10-21,Books,Canada,454.39,52.0
TXN00293,CUST0080,2025-04-07,Sports,Germany,397.91,17.0
TXN00437,CUST0191,2026-01-24,Clothing,France,32.19,45.0
TXN00836,CUST0073,2025-08-23,Electronics,France,262.01,66.0
TXN00308,CUST0038,2025-11-09,Books,United States,410.18,45.0
TXN00290,CUST0099,2025-03-31,Home & Garden,Canada,482.56,78.0
TXN00969,CUST0170,2025-03-09,Home & Garden,Spain,377.37,27.0
TXN00216,CUST0121,2025-05-19,Electronics,France,170.72,79.0
TXN00631,CUST0052,2026-01-06,Clothing,France,86.15,22.0
TXN00281,CUST0116,2025-08-26,Electronics,United States,417.53,10.0
TXN00674,CUST0001,2025-07-21,Electronics,Germany,368.97,22.0
TXN00451,CUST0188,2025-05-11,Sports,Canada,302.98,87.0
TXN00299,CUST0034,2025-12-14,Sports,Germany,89.5,89.0
TXN00786,CUST0130,2025-12-08,Books,Germany,46.68,63.0
TXN00138,CUST0170,2025-07-03,Sports,Canada,281.2,45.0
TXN00306,CUST0096,2025-03-03,Sports,United States,424.49,16.0
TXN00808,CUST0132,2025-05-26,Home & Garden,Spain,431.75,92.0
TXN00295,CUST0093,2025-09-25,Electronics,Canada,98.33,28.0
TXN00600,CUST0040,2025-09-25,Home & Garden,United States,401.95774841437634,27.0
TXN00582,CUST0109,2026-01-25,Clothing,Germany,122.18,12.0
TXN00030,CUST0083,2026-01-04,Books,United States,401.95774841437634,40.0
TXN00166,CUST0047,2025-04-11,Sports,Germany,408.98,12.0
TXN00249,CUST0130,2025-03-31,Clothing,UK,246.27,14.0
TXN00311,CUST0183,2025-12-22,Home & Garden,UK,28.77,61.0
TXN00686,CUST0044,2025-07-03,Home & Garden,United States,423.45,40.0
TXN00343,CUST0036,2025-08-11,Sports,Canada,164.05,36.0
TXN00606,CUST0042,2025-06-08,Books,Canada,263.44,93.0
TXN00527,CUST0193,2026-01-07,Home & Garden,Germany,15.17,34.0
TXN00066,CUST0024,2026-02-08,Books,Canada,11.74,99.0
TXN00632,CUST0116,2025-08-06,Books,Canada,69.16,46.0
TXN00892,CUST0187,2025-11-12,Home & Garden,United States,230.11,61.0
TXN00255,CUST0018,2025-04-12,Clothing,Spain,486.19,12.0
TXN00719,CUST0089,2025-03-15,Clothing,Canada,54.29,4.0
TXN00771,CUST0075,2025-09-23,Home & Garden,Spain,218.74,15.0
TXN00222,CUST0107,2025-04-21,Electronics,Germany,209.98,36.0
TXN00430,CUST0064,2025-06-06,Sports,United States,228.91,91.0
TXN00544,CUST0030,2025-07-11,Home & Garden,Canada,312.51,87.0
TXN00441,CUST0097,2025-03-29,Electronics,Spain,438.53,18.0
TXN00589,CUST0110,2025-10-27,Home & Garden,UK,145.71,11.0
TXN00973,CUST0080,2025-10-08,Clothing,UK,227.15,17.0
TXN00250,CUST0090,2026-01-03,Sports,Canada,383.68,74.0
TXN00579,CUST0194,2025-04-01,Clothing,Germany,54.69,13.0
TXN00410,CUST0105,2025-04-03,Books,Germany,107.73,37.0
TXN00072,CUST0200,2025-04-19,Sports,Germany,377.24,31.0
TXN00095,CUST0063,2025-03-15,Clothing,Spain,12.72,97.0
TXN00034,CUST0109,2025-03-14,Clothing,France,108.56,40.0
TXN00645,CUST0071,2025-12-16,Home & Garden,Germany,26.98,80.0
TXN00260,CUST0156,2025-10-14,Books,Germany,115.63,66.0
TXN00205,CUST0199,2025-09-03,Clothing,France,117.31,25.0
TXN00799,CUST0051,2025-08-13,Clothing,United States,115.64,25.0
TXN00621,CUST0198,2025-05-27,Clothing,Spain,382.64,32.0
TXN00366,CUST0063,2025-07-13,Books,Canada,45.76,8.0
TXN00078,CUST0090,2025-03-20,Sports,Germany,490.76,69.0
TXN00085,CUST0077,2025-03-26,Sports,Canada,210.11,52.0
TXN00995,CUST0019,2025-11-30,Sports,Germany,104.17,33.0
TXN00083,CUST0138,2025-07-25,Clothing,Canada,44.29,86.0
TXN00526,CUST0157,2025-04-06,Electronics,France,341.96,52.0
TXN00568,CUST0163,2025-06-12,Electronics,Germany,377.4,89.0
TXN00561,CUST0158,2025-11-17,Clothing,UK,404.67,73.0
TXN00543,CUST0164,2025-08-16,Home & Garden,France,309.54,76.0
TXN00888,CUST0106,2026-02-08,Electronics,UK,72.66,76.0
TXN00332,CUST0087,2025-03-13,Clothing,Germany,253.79,67.0
TXN00006,CUST0195,2025-07-29,Clothing,Spain,176.72,20.0
TXN00480,CUST0004,2025-10-13,Electronics,France,272.51,37.0
TXN00105,CUST0181,2025-08-02,Clothing,United States,209.72,70.0
TXN00098,CUST0117,2025-03-26,Clothing,Germany,270.25,72.0
TXN00833,CUST0193,2025-03-25,Electronics,United States,179.54,31.0
TXN00788,CUST0141,2025-11-02,Books,Germany,48.63,57.0
TXN00425,CUST0171,2025-09-26,Electronics,Germany,88.26,88.0
TXN00935,CUST0088,2025-12-01,Electronics,France,243.51,46.0
TXN00282,CUST0166,2025-05-02,Electronics,France,258.46,60.0
TXN00267,CUST0102,2026-02-21,Electronics,Germany,235.28,10.0
TXN00535,CUST0030,2025-04-05,Electronics,Canada,63.59,22.0
TXN00454,CUST0189,2025-03-20,Clothing,Spain,219.33,64.0
TXN00360,CUST0071,2025-09-28,Clothing,Spain,311.07,12.0
TXN00491,CUST0072,2025-03-31,Sports,France,26.12,41.0
TXN00992,CUST0024,2025-06-23,Clothing,United States,116.42,54.0
TXN00817,CUST0053,2025-08-31,Sports,United States,408.87,14.0
TXN00119,CUST0160,2025-12-28,Clothing,UK,242.04,15.0
TXN00635,CUST0155,2025-09-16,Electronics,UK,82.68,92.0
TXN00251,CUST0058,2025-04-18,Books,France,310.65,83.0
TXN00406,CUST0070,2025-04-21,Clothing,United States,373.04,31.0
TXN00718,CUST0153,2025-07-03,Books,UK,297.57,45.0
TXN00705,CUST0156,2025-12-04,Books,United States,144.95,19.0
TXN00010,CUST0159,2025-11-24,Home & Garden,France,355.24,6.0
TXN00860,CUST0073,2025-11-23,Sports,United States,165.72,58.0
TXN00197,CUST0175,2025-05-08,Clothing,Germany,80.13,60.0
TXN00653,CUST0060,2025-10-27,Clothing,United States,331.86,35.0
TXN00082,CUST0049,2025-03-05,Home & Garden,United States,223.67,67.0
TXN00448,CUST0153,2025-04-30,Electronics,Germany,339.29,7.0
TXN00534,CUST0179,2026-01-27,Books,Canada,157.13,91.0
TXN00669,CUST0146,2025-04-28,Electronics,UK,165.93,79.0
TXN00240,CUST0130,2026-01-11,Sports,Germany,398.62,15.0
TXN00412,CUST0167,2025-06-02,Sports,UK,371.96,5.0
TXN00212,CUST0020,2025-03-21,Clothing,UK,364.87,51.0
TXN00774,CUST0024,2025-11-29,Home & Garden,Canada,65.78,52.0
TXN00546,CUST0081,2025-09-27,Electronics,UK,67.3,48.0
TXN00520,CUST0173,2025-04-12,Books,UK,158.39,33.0
TXN00228,CUST0053,2025-11-16,Electronics,France,297.33,30.0
TXN00923,CUST0023,2025-09-03,Home & Garden,Germany,338.13,52.0
TXN00405,CUST0055,2025-10-15,Clothing,France,467.18,90.0
TXN00890,CUST0038,2025-10-21,Electronics,UK,462.0,67.0
TXN00178,CUST0107,2025-10-29,Books,Germany,233.83,19.0
TXN00466,CUST0062,2025-10-09,Sports,Canada,196.52,50.0
TXN00431,CUST0093,2026-01-04,Electronics,France,40.26,71.0
TXN00533,CUST0134,2025-07-02,Books,Canada,57.84,93.0
TXN00696,CUST0159,2025-07-16,Clothing,United States,94.71,22.0
TXN00479,CUST0124,2026-02-27,Books,United States,270.78,53.0
TXN00689,CUST0048,2025-10-19,Books,United States,225.47,34.0
TXN00008,CUST0089,2026-02-08,Sports,Canada,367.57,69.0
TXN00156,CUST0009,2025-03-06,Clothing,Canada,148.53,59.0
TXN00358,CUST0043,2025-03-04,Clothing,Canada,120.48,67.0
TXN00585,CUST0018,2026-02-26,Sports,France,309.06,22.0
TXN00224,CUST0093,2025-08-26,Electronics,Spain,276.79,83.0
TXN00330,CUST0200,2025-09-14,Electronics,Spain,143.88,48.0
TXN00634,CUST0024,2025-09-28,Clothing,Spain,414.93,90.0
TXN00823,CUST0199,2025-07-16,Clothing,Canada,96.94,88.0
TXN00869,CUST0149,2025-11-14,Books,France,454.09,71.0
TXN00612,CUST0147,2025-06-15,Electronics,UK,11.26,2.0
TXN00747,CUST0196,2025-04-22,Electronics,UK,222.52,50.0
TXN00679,CUST0141,2025-05-02,Electronics,Canada,492.79,62.0
TXN00810,CUST0183,2025-09-07,Home & Garden,Spain,461.38,17.0
TXN00495,CUST0177,2025-09-06,Electronics,France,36.31,56.0
TXN00573,CUST0141,2025-05-17,Sports,UK,427.69,44.0
TXN00629,CUST0034,2025-10-20,Clothing,Canada,401.95774841437634,51.0
TXN00763,CUST0027,2025-04-20,Sports,Spain,67.69,15.0
TXN00959,CUST0144,2025-09-07,Sports,Canada,19.72,16.0
TXN00164,CUST0151,2025-10-16,Electronics,Spain,292.36,98.0
TXN00229,CUST0085,2026-03-01,Clothing,France,145.86,19.0
TXN00524,CUST0180,2025-04-10,Sports,France,458.06,14.0
TXN00787,CUST0083,2025-10-11,Clothing,Canada,34.67,29.0
TXN00213,CUST0143,2025-08-12,Home & Garden,United States,16.82,69.0
TXN00826,CUST0066,2025-07-07,Electronics,Canada,357.75,20.0
TXN00080,CUST0010,2025-07-23,Electronics,France,179.39,41.0
TXN00149,CUST0162,2025-12-16,Electronics,UK,407.46,39.0
TXN00303,CUST0050,2025-05-14,Home & Garden,Spain,492.38,60.0
TXN00449,CUST0063,2025-07-21,Electronics,Germany,124.83,28.0
TXN00502,CUST0024,2025-07-18,Electronics,Canada,186.36,35.0
TXN00549,CUST0178,2025-12-07,Clothing,France,249.92,50.0
TXN00842,CUST0007,2025-09-14,Books,Spain,28.56,10.0
TXN00044,CUST0064,2025-06-01,Clothing,UK,229.82,55.0
TXN00494,CUST0100,2025-08-18,Sports,Canada,380.25,18.0
TXN00595,CUST0034,2025-07-30,Books,France,189.05,88.0
TXN00312,CUST0179,2025-07-05,Clothing,Spain,229.81,1.0
TXN00508,CUST0044,2025-09-29,Clothing,Canada,141.52,19.0
TXN00656,CUST0179,2026-02-16,Home & Garden,France,354.69,46.0
TXN00517,CUST0094,2025-11-20,Electronics,France,300.19,70.0
TXN00850,CUST0101,2025-04-12,Sports,Canada,80.6,87.0
TXN00812,CUST0182,2025-05-19,Electronics,Canada,245.38,74.0
TXN00001,CUST0164,2025-10-13,Electronics,United States,130.0,18.0
TXN00783,CUST0134,2025-07-24,Sports,United States,334.24,32.0
TXN00383,CUST0011,2025-12-22,Electronics,United States,359.66,61.0
TXN00317,CUST0153,2025-04-13,Sports,United States,262.53,31.0
TXN00762,CUST0134,2025-04-26,Home & Garden,France,353.36,54.0
TXN00592,CUST0131,2025-08-14,Clothing,Spain,154.82,7.0
TXN00409,CUST0175,2025-05-25,Clothing,United States,489.18,21.0
TXN00942,CUST0071,2025-06-14,Books,UK,147.33,29.0
TXN00751,CUST0058,2025-12-26,Home & Garden,Canada,60.33,65.0
TXN00173,CUST0053,2025-12-25,Home & Garden,France,464.56,57.0
TXN00126,CUST0170,2025-06-16,Home & Garden,United States,327.3,2.0
TXN00697,CUST0055,2026-02-09,Clothing,UK,217.45,50.0
